,SitID,HorID,Pick,Quality,Tops
163,102565,10000,510,3,t11
164,102565,11000,514,1,t10.5
165,102565,12000,514,1,e10
166,102565,13000,514,1,mcmurray
167,102565,14000,568.5,1,paleozoic
168,102577,1000,329.5,1,mannville
169,102577,2000,        ,-1,t61
170,102577,3000,        ,-1,t51
171,102577,4000,        ,-1,t41
172,102577,5000,448,1,t31
173,102577,6000,        ,-1,clw_wab
174,102577,7000,475,3,t21
175,102577,9000,478,3,t15
176,102577,9500,478,3,e14
177,102577,10000,483,3,t11
178,102577,11000,487.5,1,t10.5
179,102577,12000,487.5,1,e10
180,102577,13000,487.5,1,mcmurray
181,102577,14000,552,1,paleozoic
182,102581,1000,351,1,mannville
183,102581,2000,        ,-1,t61
184,102581,3000,        ,-1,t51
185,102581,4000,        ,-1,t41
186,102581,5000,469,1,t31
187,102581,6000,        ,-1,clw_wab
188,102581,7000,497,3,t21
189,102581,9000,500.5,3,t15
190,102581,9500,500.5,3,e14
191,102581,10000,505,3,t11
192,102581,11000,509,1,t10.5
193,102581,12000,509,1,e10
194,102581,13000,509,1,mcmurray
195,102581,14000,570,1,paleozoic
196,102583,1000,336,1,mannville
197,102583,2000,        ,-1,t61
198,102583,3000,        ,-1,t51
199,102583,4000,        ,-1,t41
200,102583,5000,446,1,t31
201,102583,6000,        ,-1,clw_wab
202,102583,7000,479,1,t21
203,102583,9000,        ,0,t15
204,102583,9500,        ,0,e14
205,102583,10000,483,1,t11
206,102583,11000,487,2,t10.5
207,102583,12000,487,2,e10
208,102583,13000,487,2,mcmurray
209,102583,14000,543.5,1,paleozoic
210,102589,1000,333,1,mannville
211,102589,2000,        ,-1,t61
212,102589,3000,        ,-1,t51
213,102589,4000,        ,-1,t41
214,102589,5000,448,1,t31
215,102589,6000,        ,-1,clw_wab
216,102589,7000,471,1,t21
217,102589,9000,478,3,t15
218,102589,9500,478,3,e14
219,102589,10000,482,2,t11
220,102589,11000,486,1,t10.5
221,102589,12000,486,1,e10
222,102589,13000,486,1,mcmurray
223,102589,14000,540,1,paleozoic
224,102592,1000,337.5,1,mannville
225,102592,2000,        ,-1,t61
226,102592,3000,        ,-1,t51
227,102592,4000,        ,-1,t41
228,102592,5000,454.5,1,t31
229,102592,6000,        ,-1,clw_wab
230,102592,7000,480,2,t21
231,102592,9000,484,3,t15
232,102592,9500,484,3,e14
233,102592,10000,486.5,2,t11
234,102592,11000,490.5,1,t10.5
235,102592,12000,490.5,1,e10
236,102592,13000,490.5,1,mcmurray
237,102592,14000,557.5,1,paleozoic
238,102596,1000,329,1,mannville
239,102596,2000,        ,-1,t61
240,102596,3000,        ,-1,t51
241,102596,4000,        ,-1,t41
242,102596,5000,448,1,t31
243,102596,6000,        ,-1,clw_wab
244,102596,7000,471,2,t21
245,102596,9000,475.5,3,t15
246,102596,9500,475.5,3,e14
247,102596,10000,478,2,t11
248,102596,11000,481,1,t10.5
249,102596,12000,481,1,e10
250,102596,13000,481,1,mcmurray
251,102596,14000,533.5,1,paleozoic
252,102597,1000,326,1,mannville
253,102597,2000,        ,-1,t61
254,102597,3000,        ,-1,t51
255,102597,4000,        ,-1,t41
256,102597,5000,439,1,t31
257,102597,6000,        ,-1,clw_wab
258,102597,7000,        ,0,t21
259,102597,9000,        ,0,t15
260,102597,9500,        ,0,e14
261,102597,10000,        ,0,t11
262,102597,11000,        ,0,t10.5
263,102597,12000,        ,0,e10
264,102597,13000,503,2,mcmurray
265,102597,14000,531.5,1,paleozoic
266,102606,1000,339,1,mannville
267,102606,2000,        ,-1,t61
268,102606,3000,        ,-1,t51
269,102606,4000,        ,-1,t41
270,102606,5000,456,1,t31
271,102606,6000,        ,-1,clw_wab
272,102606,7000,483.5,2,t21
273,102606,9000,        ,0,t15
274,102606,9500,        ,0,e14
275,102606,10000,486.5,2,t11
276,102606,11000,492,3,t10.5
277,102606,12000,492,3,e10
278,102606,13000,492,3,mcmurray
279,102606,14000,533,1,paleozoic
280,102609,1000,342.5,1,mannville
281,102609,2000,        ,-1,t61
282,102609,3000,        ,-1,t51
283,102609,4000,        ,-1,t41
284,102609,5000,460,1,t31
285,102609,6000,        ,-1,clw_wab
286,102609,7000,480,1,t21
287,102609,9000,487,3,t15
288,102609,9500,487,3,e14
289,102609,10000,490,2,t11
290,102609,11000,493,2,t10.5
291,102609,12000,493,2,e10
292,102609,13000,493,2,mcmurray
293,102609,14000,543,1,paleozoic
294,102610,1000,322,1,mannville
295,102610,2000,        ,-1,t61
296,102610,3000,        ,-1,t51
297,102610,4000,        ,-1,t41
298,102610,5000,439.5,1,t31
299,102610,6000,        ,-1,clw_wab
300,102610,7000,456,3,t21
301,102610,9000,458.5,3,t15
302,102610,9500,458.5,3,e14
303,102610,10000,461,2,t11
304,102610,11000,473,1,t10.5
305,102610,12000,473,1,e10
306,102610,13000,473,1,mcmurray
307,102610,14000,537,1,paleozoic
308,102611,1000,340,1,mannville
309,102611,2000,        ,-1,t61
310,102611,3000,        ,-1,t51
311,102611,4000,        ,-1,t41
312,102611,5000,458,1,t31
313,102611,6000,        ,-1,clw_wab
314,102611,7000,474,1,t21
315,102611,9000,481,3,t15
316,102611,9500,481,3,e14
317,102611,10000,486,3,t11
318,102611,11000,493,2,t10.5
319,102611,12000,493,2,e10
320,102611,13000,493,2,mcmurray
321,102611,14000,544,1,paleozoic
322,102614,1000,334,1,mannville
323,102614,2000,        ,-1,t61
324,102614,3000,        ,-1,t51
325,102614,4000,        ,-1,t41
326,102614,5000,454,1,t31
327,102614,6000,        ,-1,clw_wab
328,102614,7000,474,1,t21
329,102614,9000,480.5,3,t15
330,102614,9500,480.5,3,e14
331,102614,10000,484,2,t11
332,102614,11000,487,1,t10.5
333,102614,12000,487,1,e10
334,102614,13000,487,1,mcmurray
335,102614,14000,535,2,paleozoic
336,102615,1000,372,1,mannville
337,102615,2000,        ,-1,t61
338,102615,3000,        ,-1,t51
339,102615,4000,        ,-1,t41
340,102615,5000,493,1,t31
341,102615,6000,        ,-1,clw_wab
342,102615,7000,512,1,t21
343,102615,9000,518.5,3,t15
344,102615,9500,518.5,3,e14
345,102615,10000,524.5,2,t11
346,102615,11000,526,3,t10.5
347,102615,12000,526,3,e10
348,102615,13000,526,3,mcmurray
349,102615,14000,592,1,paleozoic
350,102619,1000,315,1,mannville
351,102619,2000,        ,-1,t61
352,102619,3000,        ,-1,t51
353,102619,4000,        ,-1,t41
354,102619,5000,431,1,t31
355,102619,6000,        ,-1,clw_wab
356,102619,7000,451,3,t21
357,102619,9000,454,3,t15
358,102619,9500,454,3,e14
359,102619,10000,465,3,t11
360,102619,11000,469,1,t10.5
361,102619,12000,469,1,e10
362,102619,13000,469,1,mcmurray
363,102619,14000,534,2,paleozoic
364,102620,1000,345,1,mannville
365,102620,2000,        ,-1,t61
366,102620,3000,        ,-1,t51
367,102620,4000,        ,-1,t41
368,102620,5000,464,1,t31
369,102620,6000,        ,-1,clw_wab
370,102620,7000,481,2,t21
371,102620,9000,486,3,t15
372,102620,9500,486,3,e14
373,102620,10000,491,3,t11
374,102620,11000,494,1,t10.5
375,102620,12000,494,1,e10
376,102620,13000,494,1,mcmurray
377,102620,14000,555,2,paleozoic
378,102626,1000,344,1,mannville
379,102626,2000,        ,-1,t61
380,102626,3000,        ,-1,t51
381,102626,4000,        ,-1,t41
382,102626,5000,461,1,t31
383,102626,6000,        ,-1,clw_wab
384,102626,7000,481.5,1,t21
385,102626,9000,489,3,t15
386,102626,9500,489,3,e14
387,102626,10000,493.5,3,t11
388,102626,11000,497,1,t10.5
389,102626,12000,497,1,e10
390,102626,13000,497,1,mcmurray
391,102626,14000,560.5,1,paleozoic
392,102630,1000,375,1,mannville
393,102630,2000,        ,-1,t61
394,102630,3000,        ,-1,t51
395,102630,4000,        ,-1,t41
396,102630,5000,496.5,1,t31
397,102630,6000,        ,-1,clw_wab
398,102630,7000,516.5,1,t21
399,102630,9000,523,3,t15
400,102630,9500,523,3,e14
401,102630,10000,527.5,2,t11
402,102630,11000,531,3,t10.5
403,102630,12000,531,3,e10
404,102630,13000,531,3,mcmurray
405,102630,14000,562,4,paleozoic
406,102633,1000,291.5,1,mannville
407,102633,2000,        ,-1,t61
